strain,time (s)
2.636688498359564e-20,-3.0918655377499995
2.710826461180201e-20,-3.0913772564999995
2.781621148613947e-20,-3.0908889752499995
2.848984177183744e-20,-3.0904006939999995
2.912831377270061e-20,-3.0899124127499995
2.9730828992232045e-20,-3.0894241314999995
3.029663314192586e-20,-3.0889358502499995
3.082501709543812e-20,-3.0884475689999995
3.131531778742414e-20,-3.0879592877499995
3.176691905588398e-20,-3.0874710064999995
3.2179252426942243e-20,-3.0869827252499995
3.2551797841040964e-20,-3.0864944439999995
3.288408431961498e-20,-3.0860061627499995
3.3175690571378646e-20,-3.0855178814999995
3.3426245537427726e-20,-3.0850296002499995
3.363542887444653e-20,-3.0845413189999995
3.3802971375370624e-20,-3.0840530377499995
3.392865532694678e-20,-3.0835647564999995
3.4012314803698496e-20,-3.0830764752499995
3.4053835897891925e-20,-3.0825881939999995
3.405315688517015e-20,-3.0820999127499995
3.4010268325607295e-20,-3.0816116314999995
3.3925213100011456e-20,-3.0811233502499995
3.37980863813862e-20,-3.0806350689999995
3.3629035541541284e-20,-3.0801467877499995
3.3418259992922985e-20,-3.0796585064999995
3.316601096581384e-20,-3.0791702252499995
3.287259122113618e-20,-3.0786819439999995
3.253835469916567e-20,-3.0781936627499995
3.2163706104551736e-20,-3.0777053814999995
3.174910042810957e-20,-3.0772171002499995
3.129504240593872e-20,-3.0767288189999995
3.0802085916488656e-20,-3.0762405377499995
3.027083331628543e-20,-3.0757522564999995
2.970193471508902e-20,-3.0752639752499995
2.909608719135318e-20,-3.0747756939999995
2.845403394890595e-20,-3.0742874127499995
2.7776563415867953e-20,-3.0737991314999995
2.7064508286879518e-20,-3.0733108502499995
2.6318744509791324e-20,-3.0728225689999995
2.5540190218035677e-20,-3.0723342877499995
2.4729804609965982e-20,-3.0718460064999995
2.38885867765244e-20,-3.0713577252499995
2.3017574478649728e-20,-3.0708694439999995
2.2117842875919454e-20,-3.0703811627499995
2.1190503207962274e-20,-3.0698928814999995
2.0236701430256927e-20,-3.0694046002499995
1.9257616805966238e-20,-3.0689163189999995
1.8254460455549786e-20,-3.0684280377499995
1.7228473865899204e-20,-3.0679397564999995
1.6180927360849427e-20,-3.0674514752499995
1.5113118534920918e-20,-3.0669631939999995
1.4026370652228795e-20,-3.0664749127499995
1.2922031012514984e-20,-3.0659866314999995
1.1801469286318476e-20,-3.0654983502499995
1.0666075821340306e-20,-3.0650100689999995
9.517259922072584e-21,-3.0645217877499995
8.356448104833923e-21,-3.0640335064999995
7.185082330347664e-21,-3.0635452252499995
6.004618216067483e-21,-3.0630569439999995
4.816523230434023e-21,-3.0625686627499995
3.622274871331547e-21,-3.0620803814999995
2.4233588309694355e-21,-3.0615921002499995
1.2212671494895834e-21,-3.0611038189999995
1.7496359572666873e-23,-3.0606155377499995
-1.1864543756374599e-21,-3.0601272564999995
-2.38908512898351e-21,-3.0596389752499995
-3.588897077801655e-21,-3.0591506939999995
-4.784394372141834e-21,-3.0586624127499995
-5.9740860003963444e-21,-3.0581741314999995
-7.156487649981747e-21,-3.0576858502499995
-8.330123560784523e-21,-3.0571975689999995
-9.49352836902034e-21,-3.0567092877499995
-1.0645248939232333e-20,-3.0562210064999995
-1.1783846182107902e-20,-3.0557327252499995
-1.2907896855865189e-20,-3.0552444439999995
